slug,title,meta_description,word_count,dateModified,has_answer_block,has_faq_schema,cta_type
concreter-invoice-template-australia,"Concreter Invoice Template Australia: Labour, Concrete Supply and GST","What to include on a concreting invoice in Australia: ABN, cubic metres, excavation, progress claims, materials, GST and payment terms. Practical format for slabs, driveways and sub-contract work.",1102,2026-05-11,no,yes,both
customer-approval-portal,What Is a Customer Approval Portal and Why Does It Matter for Sole Traders?,"A customer approval portal lets customers view, approve, and pay a quote on their phone before work starts. It eliminates verbal disputes, reduces payment delays, and creates a legal record.",1075,2026-04-06,no,no,both
customer-payment-history-better-tradie,Why Knowing Your Customer's Payment History Makes You a Better Tradie,Tracking customer payment history reveals who your most valuable clients actually are — and who you've been discounting without realising. Here's what the data shows.,1127,2026-04-06,no,no,both
customer-put-fifty-back-in-purse,She Put the Last $50 Back in Her Purse: What to Do When a Customer Doesn't Pay the Full Amount,Verbal quotes leave sole traders exposed. A customer who disputes the price at the door holds all the power if there's no written agreement. Here's the fix.,1144,2026-04-06,no,no,both
do-i-need-gst-as-a-sole-trader-australia,Do I Need to Register for GST as a Sole Trader in Australia?,"You must register for GST as an Australian sole trader if your annual turnover reaches $75,000. Below this threshold, registration is optional. Here's exactly how to calculate whether you're at the threshold — and what registration actually means day-to-day.",972,2026-04-06,no,no,both
dog-grooming-invoice-template-australia,"Dog Grooming Invoice Template Australia: Packages, Breed Pricing and GST","What to include on a dog grooming invoice in Australia: ABN, breed/size pricing, grooming packages, add-ons, cancellation fees, GST and payment terms for mobile groomers.",686,2026-05-11,no,yes,both
driveway-concrete-asphalt-voice-invoicing,Driveway and Concrete Invoicing: Capture Forgotten Costs,"On-site voice invoicing for concrete. Capture 94% cost overages, reduce disputes 30% to 8%.",1394,2026-03-12,no,no,both
electrician-call-out-fee-invoice,"Electrician Call-out Fee Invoice: Examples, GST and Emergency Rates","How to show an electrician call-out fee on an invoice. Includes examples for standard call-outs, first-hour minimums, emergency rates, labour, parts and GST.",1018,2026-05-11,no,yes,both
electrician-invoice-template-australia,"Electrician Invoice Template Australia: Licence, GST and Materials","Electrician invoice template Australia guide. See what to include: licence number, ABN, call-out fee, labour, materials, GST and payment terms.",1067,2026-05-11,no,yes,both
eofy-invoicing-checklist-sole-traders-australia,The EOFY Invoicing Checklist for Australian Sole Traders,Six invoicing tasks Australian sole traders must complete before June 30 to meet ATO obligations and avoid missing deductions. The checklist that turns a 2-week panic into a 2-hour task.,1406,2026-04-06,no,no,both
fastest-voice-invoice-generator-gmail,"Fastest Voice Invoice Generator for Gmail — One Button, Full Invoice | SMASH","Press From Email in the SMASH Gmail sidebar and get a fully itemised, priced invoice with cover letter in under 60 seconds. No typing. No tab-switching. See the demo.",1262,2026-06-13,no,yes,both
fastest-way-to-send-invoice-2026,Fastest Way to Send an Invoice in 2026 — 60 Second Demo | SMASH,"Watch SMASH turn a Gmail email into a fully-priced, sent invoice in 60 seconds flat. Voice description, auto-pricing from your catalog, Gmail reply. Done.",787,2026-06-13,no,yes,both
fencing-gate-balustrade-quoting-gmail,Fencing & Balustrade Quote Automation From Gmail | SMASH,"Stop hand-calculating posts, panels, and hardware kits from linear measurements. SMASH reads the dimensions from customer emails and builds the full material take-off in Gmail.",912,2026-06-07,no,yes,both
fencing-invoice-template-australia,"Fencing Invoice Template Australia: Metre Rates, Gates and GST","What to include on a fencing invoice in Australia: ABN, metre rates by fence type, gate pricing, hardware, removal and disposal, GST and payment terms.",770,2026-05-11,no,yes,both
fergus-alternative-voice-invoicing-tradie,Fergus Alternative: Voice Invoicing for 75% Faster Billing,"Fergus and voice invoicing. Keep scheduling, use voice for invoicing. 75% faster, 120k ROI.",1347,2026-03-12,no,no,both
fly-screen-job,The 20 Seconds That Changed How I Invoice,One fly screen job. 20 seconds of voice. Invoice sent. Customer paid same day. This is the moment Dan Reeve knew SMASH Invoices was real.,1361,2026-04-06,no,no,both
forgotten-invoices-annual-cost,How Much Is One Forgotten Invoice Actually Costing You Per Year?,"One forgotten invoice per month at $350 average costs $4,200 per year. The invoice was never bad debt — it was never sent. Here's the real number and the fix.",1305,2026-04-06,no,no,both
friday-pub-test-batch-invoicing-tradies,The Friday Pub Test: How to Batch Invoice in 30 Seconds | Smash Invoices,Stop doing admin on Sundays. Learn the 'Driveway Workflow' to send 20+ invoices in seconds so you can enjoy your Friday without the paperwork stress.,933,2026-01-15,no,no,both
garden-shed-kit-barn-quoting-gmail,Garden Shed & Kit Barn Quote Automation in Gmail | SMASH,"Shed and carport distributors can't use a simple price list — wind regions, freight zones, and kit configurations make every quote custom. SMASH automates this inside Gmail.",857,2026-06-07,no,yes,both
gardening-invoice-template-australia,Gardening Invoice Template Australia,"Gardening invoice template Australia guide covering lawn mowing, green waste, materials, GST, repeat clients and voice invoicing examples.",769,2026-05-11,no,yes,both
gmail-email-to-invoice-20-seconds,Turn a Gmail Email Into a Sent Invoice in 20 Seconds | SMASH,See how SMASH reads a job request email in Gmail and builds a GST-ready invoice in under 20 seconds. No typing. No tab-switching. Syncs to Xero and QuickBooks.,874,2026-06-13,yes,yes,both
gmail-quickbooks-xero-bridge,Gmail to QuickBooks Bridge — Invoice Without the Dashboard | SMASH,"SMASH is the speed layer between Gmail and QuickBooks or Xero that your accounting software never built. 250,000-item catalog, custom services, 1-click sync.",694,2026-06-13,no,yes,both
gmail-to-xero-invoice-no-typing,"Gmail to Xero Invoice — No Typing, No Tab-Switching | SMASH Chrome Extension","SMASH reads your Gmail job requests and pushes a complete, itemised invoice to Xero in under 60 seconds. No manual data entry. No copy-paste. See the full demo.",700,2026-06-13,no,yes,both
handyman-invoice-template-australia,Handyman Invoice Template Australia,"Handyman invoice template Australia guide covering labour, materials, call-out fees, GST, payment terms and voice invoicing examples.",836,2026-05-11,no,yes,both
handyman-materials-and-call-out-fees,Handyman Materials and Call-out Fee Invoice Guide,"Handyman materials and call-out fee invoice guide covering small hardware, minimum charges, disposal fees, GST and voice invoicing examples.",724,2026-05-11,no,yes,both
handymen-multi-skill-voice-invoicing-tradie,Handymen Multi-Skill Invoicing: One Invoice for All Services,"Voice invoicing for handymen. Combine plumbing, electrical, carpentry. 80% faster, 10k+ margin.",1431,2026-03-12,no,no,both
hidden-cost-of-invoicing-friction,Hidden Cost of Manual Invoicing & How to Fix | SMASH,"Think those extra fields in your invoicing app are just a minor annoyance? Think again. Discover the ""hidden cost"" of friction and how it's stealing your most valuable resource: time.",803,2026-01-03,no,no,both
how-long-to-send-invoice-after-job-australia,How Long Should You Wait to Send an Invoice After a Job? | SMASH,The best time to invoice is before you leave the site. Why waiting until tonight loses detail — and how to send in under 60 seconds.,913,2026-06-12,no,no,both
how-much-losing-uncharged-materials,How Much Do Self-Employed Service Workers Lose on Materials They Forget to Charge For?,"Self-employed service workers lose $5,200 per year on uncharged materials. Here's why it happens, which trades lose most, and how to fix it.",1502,2026-04-06,no,yes,both
how-to-add-sku-numbers-to-invoice,How to Add SKU Numbers to an Invoice From a Parts List | SMASH,Step-by-step guide to adding SKU numbers to an invoice from a messy parts list or purchase order. See how SMASH matches item descriptions to SKUs inside Gmail.,1831,2026-06-13,no,yes,both
how-to-charge-materials-on-a-plumbing-invoice,How to Charge Materials on a Plumbing Invoice,"How to charge materials on a plumbing invoice. Learn itemised parts, cost-plus markup, GST, quote-to-invoice workflow and examples for plumbers.",1023,2026-05-11,no,yes,both
how-to-get-invoices-paid-faster-tradie-secrets,Paid in 48 Hours: How to Get Invoices Paid Faster | Smash Invoices,Tired of chasing money? Learn the 3 psychological triggers and the one technical must-have that gets tradie invoices paid in record time.,917,2026-01-15,no,no,both
how-to-invoice-appliance-repair-callouts,How to Invoice Appliance Repair Callouts in Australia,"How to invoice appliance repair callouts correctly: diagnostic-only, after-hours rates, commercial clients, and getting paid from the driveway in Australia.",798,2026-05-11,no,yes,both
how-to-invoice-as-a-carpenter-australia,How to Invoice as a Carpenter in Australia,"Carpenters in Australia need ABN, detailed scope of work, and itemised materials on every invoice. Dan's dad has been writing 'Miscellaneous — $20' for thirty years. Here's what that actually costs — and how to fix it.",1034,2026-04-06,no,no,both
how-to-invoice-as-a-cleaner-australia,How to Invoice as a Cleaner in Australia,"Cleaners in Australia need to include their business name, ABN, date, service description, and total on every invoice. If turnover exceeds $75,000, GST registration is required. Here's the complete guide, plus the one thing most cleaners forget that costs them $3,600 a year.",1150,2026-04-06,no,no,both
how-to-invoice-as-a-gardener-australia,How to Invoice as a Gardener or Landscaper in Australia,"Gardeners and landscapers in Australia need ABN, service description, and materials on every invoice. Most sole traders lose $60–$100 a week on mulch, soil, plants, and chemicals never invoiced. Here's the complete guide.",984,2026-04-06,no,no,both
how-to-invoice-as-a-handyman-australia,How to Invoice as a Handyman in Australia,"Handymen in Australia do the most varied work and lose the most money to forgotten invoices. Here's the complete invoicing guide — including the $700 job Dan never invoiced, and how to make sure it never happens again.",1224,2026-04-06,no,no,both
how-to-invoice-as-a-mobile-mechanic-australia,How to Invoice as a Mobile Mechanic in Australia,"Mobile mechanics in Australia lose money on parts, fluids, and filters never itemised on invoices. Add verbal quotes disputed at payment time and you've got the most cash-leaky trade in the country. Here's the complete invoicing guide.",970,2026-04-06,no,no,both
how-to-invoice-as-a-painter-australia,How to Invoice as a Painter in Australia,"Australian painters lose more on uncharged materials than any other trade — an estimated $120–$180 per week in undercoat, roller covers, tape, and sandpaper. Here's the complete invoicing guide for sole trader painters.",1059,2026-04-06,no,no,both
how-to-invoice-as-a-pest-control-operator-australia,How to Invoice as a Pest Control Operator in Australia,Pest control operators in Australia need their pest management licence on all invoices. Most lose $50–$90 per week on chemical costs never itemised. Here's the complete invoicing guide.,949,2026-04-06,no,no,both
how-to-invoice-as-a-plumber-australia,How to Invoice as a Plumber in Australia,"Australian plumbers must include ABN, licence number, service description, and materials on every tax invoice. Most sole trader plumbers lose $80–$150 per week on fittings they forget to charge for. Here's the complete guide.",1028,2026-04-06,no,no,both
how-to-invoice-as-a-sole-trader-australia-complete-guide,How to Invoice as a Sole Trader in Australia — The Complete Guide,"Australian sole traders need ABN, business name, invoice number, date, service description, total, and GST if registered on every invoice. Here's everything you need to know — from first invoice to getting paid consistently.",1139,2026-04-06,no,no,both
how-to-invoice-as-an-electrician-australia,How to Invoice as an Electrician in Australia,"Australian electricians must include their electrical contractor licence number on all invoices. Most sole trader sparkies lose $80–$140 per week in cable, conduit, and fittings they don't itemise. Here's the complete invoicing guide.",966,2026-04-06,no,no,both
how-to-invoice-cctv-and-alarm-installations,How to Invoice CCTV and Alarm Installations in Australia,"How to invoice CCTV and alarm installations in Australia: equipment lists with model numbers, cable by the metre, monitoring add-ons, and quote-to-invoice conversion.",885,2026-05-11,no,yes,both
how-to-invoice-commercial-cleaning-clients,"How to Invoice Commercial Cleaning Clients: Scope, GST and Terms","How to invoice commercial cleaning clients with site address, service period, scope, GST, PO numbers, line items and payment terms that accounts teams can approve.",1063,2026-05-11,no,yes,both
how-to-invoice-computer-repair-parts-and-labour,How to Invoice Computer Repair Parts and Labour in Australia,"How to invoice computer repair correctly: callout fee, remote vs on-site rates, parts with markup, business client terms, and MSP recurring invoices in Australia.",755,2026-05-11,no,yes,both
how-to-invoice-concrete-progress-claims,How to Invoice Progress Claims for Concrete Jobs in Australia,"How to structure deposit, progress, and final invoices for large concreting jobs in Australia. Progress claim format, GST, and milestone billing for concreters.",1097,2026-05-11,no,yes,both
how-to-invoice-emergency-locksmith-call-outs,How to Invoice Emergency Locksmith Call-outs in Australia,"How to invoice emergency locksmith call-outs with after-hours rates, same-night payment links and rate transparency. Avoid disputes and get paid the same night.",1163,2026-05-11,no,yes,both
how-to-invoice-fencing-by-the-metre,How to Invoice Fencing Jobs by the Metre in Australia,"How to invoice fencing by the metre in Australia: Colorbond, timber, pool fence, gates, hardware, removal and disposal on one professional invoice.",803,2026-05-11,no,yes,both
how-to-invoice-mobile-car-detailing-packages,How to Invoice Mobile Car Detailing Packages in Australia,"How to invoice express, full detail, and paint correction packages for mobile car detailers. Add-ons, vehicle size rates, multi-day jobs, and same-day payment.",868,2026-05-11,no,yes,both
how-to-invoice-mobile-dog-grooming-appointments,How to Invoice Mobile Dog Grooming Appointments in Australia,"How to invoice mobile dog grooming appointments efficiently: between grooms, repeat clients, add-ons, no-show fees, and same-day payment for Australian groomers.",782,2026-05-11,no,yes,both
how-to-invoice-multi-day-painting-jobs,"How to Invoice Multi-Day Painting Jobs: Labour, Stages and Cashflow","How to invoice multi-day painting jobs. Covers stage-based line items, progress invoicing, materials, GST, same-day invoicing and painter cashflow.",1336,2026-05-11,no,yes,both
how-to-invoice-pool-chemical-treatments,How to Invoice Pool Chemical Treatments in Australia,"How to invoice pool chemicals by quantity: chlorine, pH adjusters, algaecide, and green pool treatments. Correct billing for pool technicians in Australia.",855,2026-05-11,no,yes,both
how-to-invoice-pool-maintenance-australia,How to Invoice for Pool Maintenance in Australia,Pool maintenance technicians in Australia lose money on chemical costs that change price constantly and get absorbed into flat service fees. Here's the complete invoicing guide — including how to invoice chemicals accurately every time.,988,2026-04-06,no,no,both
how-to-invoice-quarterly-pest-treatments,How to Invoice Quarterly Pest Control Treatments: Recurring Invoicing Guide,"How to invoice quarterly pest control treatments. Covers recurring invoicing, commercial rates, chemical notes, follow-up pricing, GST and same-day invoicing.",1438,2026-05-11,no,yes,both
how-to-invoice-rubbish-removal-tip-fees,How to Invoice Rubbish Removal Tip Fees in Australia,"How to invoice rubbish removal tip fees by waste type in Australia. General waste, soil, construction, green waste and hazardous disposal charges on professional invoices.",869,2026-05-11,no,yes,both
how-to-invoice-solar-with-stc-rebates,How to Invoice Solar with STC Rebates: Correct Format and GST,"How to show STC rebate deductions correctly on solar installation invoices in Australia. GST treatment, finance lender format, and number of STCs explained.",934,2026-05-11,no,yes,both
how-to-invoice-switchboard-upgrades,"How to Invoice Switchboard Upgrades: Labour, RCDs, GST and Quotes","How to invoice switchboard upgrades with labour, boards, RCDs, breakers, testing notes, quote approval, GST and electrician invoice examples.",969,2026-05-11,no,yes,both
how-to-invoice-tiling-labour-and-materials,"How to Invoice Tiling Labour and Materials: Floor, Wall and Supply and Install","How to structure tiling invoices with floor, wall, supply-and-install and labour-only line items. Adhesive, grout, waterproofing, strip-and-dispose and GST for Australian tilers.",1184,2026-05-11,no,yes,both
how-to-invoice-tree-removal-and-stump-grinding,How to Invoice Tree Removal and Stump Grinding in Australia,"How to structure tree removal and stump grinding invoices in Australia with crew rates, equipment hire, tip fees, disposal, and emergency pricing on one invoice.",750,2026-05-11,no,yes,both
hvac-air-con-invoice-template-australia,"HVAC Invoice Template Australia: Refrigerant, Labour, Parts and GST","HVAC invoice template Australia guide for air con technicians. See what to include: licence number, refrigerant, call-out fee, parts, labour, GST and payment terms.",1256,2026-05-11,no,yes,both
i-never-got-it-invoice-dispute,"\""I Never Got It\"" — The Three Words That Cost Self-Employed Service Workers Thousands",Invoice read receipts eliminate 'I never got it' forever. Know the exact moment your customer opened the invoice — and how many times. Here's how it works.,1139,2026-04-06,no,no,both
ill-pay-you-next-week-chasing-invoices,"\""I'll Pay You Next Week\"" — The Three Mondays That Cost Tradies Thousands","\""I'll pay you next week\"" said at the door is the most costly phrase in trades business. Here's the real cost of chasing payments — and the invoicing change that makes the conversation happen before you leave, not three weeks after.",1030,2026-04-06,no,no,both
invoice-without-typing,How to Send an Invoice Without Typing | SMASH,"No keyboard, no spreadsheet. Describe the job out loud or scan a Gmail request — SMASH prices it from your catalog. Verify and send in under a minute.",1157,2026-06-12,no,no,both
invoicing-app-no-typing,Is There an Invoicing App That Doesn't Require Typing?,Yes. SMASH Invoices is a voice-first invoicing app for sole traders. Speak a job description in 20–30 seconds and the app generates a GST-compliant invoice automatically.,1188,2026-04-06,no,no,both
is-voice-invoicing-accurate,Is Voice Invoicing Accurate? Catalog Matching Explained | SMASH,"Voice invoicing only works if prices come from your data. How SMASH matches your catalog, flags unknowns, and lets you verify before send.",1185,2026-06-12,no,no,both
is-xero-overkill-for-solo-tradies,Is Xero Overkill? The Best Simple Invoice App for Solo Tradies,"Xero is great for accountants, but is it too much for your van? Discover why solo operators are ditching complex software for mobile-first voice invoicing.",1089,2026-01-15,no,no,both
it-repair-invoice-template-australia,"IT Repair Invoice Template Australia: Callout Fee, Labour and Parts","What to include on an IT repair invoice in Australia: ABN, callout fee, remote and on-site rates, parts markup, GST and payment terms for IT technicians.",663,2026-05-11,no,yes,both
it-reseller-msp-quote-automation-gmail,MSP & IT Reseller Quote Automation in Gmail | SMASH,"Stop manually cross-referencing distributor pricing sheets to calculate markup on every hardware request. SMASH reads the email, calculates your margins, and builds the quote in Gmail.",922,2026-06-07,no,yes,both
lawn-mowing-repeat-invoices,Repeat Invoices for Lawn Mowing and Garden Maintenance,"Repeat invoices for lawn mowing guide covering regular garden maintenance, fixed property rates, green waste add-ons and voice invoicing.",646,2026-05-11,no,yes,both
locksmith-invoice-template-australia,"Locksmith Invoice Template Australia: Call-out Fee, Labour and GST","What to include on a locksmith invoice in Australia: ABN, licence number, call-out fee, labour, lock supply, key cutting, after-hours rates, GST and payment terms.",1164,2026-05-11,no,yes,both
miscellaneous-costing-you,What Is 'Miscellaneous' Actually Costing You? My Dad's 30-Year Mistake,"Writing 'Miscellaneous — $20' on every invoice costs sole traders $3,640–$5,200 per year. One carpenter's 30-year habit and the fix.",1145,2026-04-06,no,no,both
mobile-mechanic-call-out-fee-invoice,Mobile Mechanic Call-out Fee Invoice Guide,"Mobile mechanic call-out fee invoice guide covering standard, roadside, after-hours and diagnostic charges with examples and voice invoicing.",725,2026-05-11,no,yes,both
mobile-mechanic-invoice-software-grease-free,Grease on Screen: Mobile Mechanic Invoicing That Actually Works,"Mobile mechanics need invoicing that survives grease, dust, and rough handling. Learn why voice invoicing is the only method that works in harsh environments.",800,2026-01-15,no,no,both
mobile-mechanic-parts-markup-invoice,Mobile Mechanic Parts Markup Invoice Guide,"Mobile mechanic parts markup invoice guide covering labour, parts, fluids, consumables, GST, payment terms and voice invoicing examples.",927,2026-05-11,no,yes,both
mobile-mechanic-toolkit-voice-to-invoice,The Mobile Mechanic's Toolkit: Why Voice-to-Invoice is a Game Changer,Ditch the greasy paperwork. Learn why voice-to-invoice technology is the must-have tool for mobile mechanics to track parts and bill instantly.,887,2026-01-15,no,no,both
never-send-bank-details-text,Why You Should Never Send Your Bank Details in a Text Message,The ACCC reported $12.3 million lost to invoice fraud in Australia in 2023. Sending BSB and account number via SMS exposes you to payment redirection scams. Here's the safe alternative.,1078,2026-04-06,no,no,both
painter-invoice-template-australia,"Painter Invoice Template Australia: Labour, Prep, Materials and GST","Painting invoice template Australia guide for painters. See what to include: ABN, prep work, labour, paint materials, colour notes, GST and payment terms.",1393,2026-05-11,no,yes,both
pest-control-invoice-template-australia,"Pest Control Invoice Template Australia: Treatments, Chemicals and GST","Pest control invoice template Australia guide. See what to include: licence number, treatment types, chemical products, follow-up rates, GST and payment terms.",1307,2026-05-11,no,yes,both
pest-control-invoicing-gmail-csv-pricing,Pest Control Invoicing From Gmail — Upload CSV Pricing & Quote Instantly | SMASH,"Pest control businesses can upload their full pricing catalog as a CSV, then let SMASH build professional quotes directly from customer emails in Gmail. No typing required.",736,2026-06-13,yes,yes,both
photographer-wedding-quote-gmail-60-seconds,Photographer Quote From Gmail in 60 Seconds — Wedding Enquiry Demo | SMASH,"See how to make a quote for a client from Gmail in 60 seconds. Scan a wedding enquiry, match full-day photo packages, and send a priced PDF with cover email — no tab-switching.",1300,2026-06-13,no,yes,both
plumber-call-out-fee-invoice,"Plumber Call-out Fee Invoice: Examples, GST and Emergency Rates","How to show a plumber call-out fee on an invoice. Includes examples for standard call-outs, first-hour minimums, emergency rates, labour, materials and GST.",1038,2026-05-11,no,yes,both
plumbing-invoice-template-australia,"Plumbing Invoice Template Australia: Licence, GST and Materials","Plumbing invoice template Australia guide for plumbers. See what to include: licence number, ABN, call-out fee, labour, materials markup, GST and payment terms.",1195,2026-05-11,no,yes,both
pool-service-invoice-template-australia,"Pool Service Invoice Template Australia: Chemicals, Labour and GST","What to include on a pool maintenance invoice in Australia: ABN, service rates, chemical quantities and prices, equipment supply, green pool treatment, GST and payment terms.",762,2026-05-11,no,yes,both
price-materials-automatically,How to Price Materials Automatically in a Quote Without Looking Anything Up,"Describe what you used — 'replaced 250L hot water system, two flexi hoses, pressure relief valve' — and SMASH Invoices prices every item automatically from a 2,250-item Australian catalog.",1158,2026-04-06,no,no,both
print-signage-custom-quote-gmail,Print Shop & Signage Quote Automation From Gmail | SMASH,"Custom print and signage quotes require area calculations, substrate pricing, and finishing surcharges on every job. SMASH reads the dimensions from the email and builds the quote automatically.",891,2026-06-07,no,yes,both
property-manager-payment-runaround,The Property Manager Runaround — Why Commercial Clients Pay Last,Property managers pay 45–60 days after invoice by design. Sole traders who understand the commercial payment cycle can protect their cash flow. Here's how.,1089,2026-04-06,no,no,both
quickbooks-estimates-from-gmail,QuickBooks CSV Import Blocked? Gmail Estimate Workaround | SMASH Blog,QuickBooks Online blocks CSV estimate imports across all tiers. SMASH bypasses this — scan a customer email in Gmail and push a complete QBO estimate in under 60 seconds.,1392,2026-06-07,no,yes,both
quickbooks-gmail-chrome-extension-missing,What QuickBooks Doesn't Have for Gmail Invoicing — And the Fix | SMASH,"QuickBooks is great for your books. But there's no Chrome extension, no Gmail sidebar, no way to quote from your inbox without switching tabs. SMASH fills the gap.",691,2026-06-13,no,yes,both
quickbooks-gmail-invoice-shortcut,QuickBooks Gmail Invoice Shortcut — Free Desktop Demo | SMASH,"Paying for QuickBooks bloat just to send quotes? See voice + From Email workflows in Gmail — PDF, Stripe link, and QBO/Xero sync in under 10 seconds.",1109,2026-06-13,no,yes,both
quickbooks-gmail-sidebar-tab-switching,Stop Tab-Switching: QuickBooks Sidebar for Gmail — Full Workflow | SMASH,"Tired of switching between Gmail and QuickBooks to send a basic invoice? SMASH is the QuickBooks sidebar for Gmail. Voice the job, get paid, sync your books. Done.",777,2026-06-13,no,yes,both
read-receipts-invoicing,How Read Receipts Changed the Way I Follow Up Invoices,"Invoice read receipts tell you the exact moment a customer opened your invoice. That data changes everything — no more guessing when to chase, when to wait.",1193,2026-04-06,no,no,both
repeat-customer-inconsistent-pricing,The Repeat Customer Who Always Gets Your Cheapest Price (Even When You Don't Offer It),"If you can't remember what you charged a customer six months ago, you'll quote from memory — and memory always rounds down. Most tradies charge their best clients the least. Here's how to fix it without a difficult conversation.",961,2026-04-06,no,no,both
repeat-invoices-for-cleaners,Repeat Invoices for Cleaners: Weekly Billing Without Re-typing,"Repeat invoices for cleaners explained. Learn when to repeat, what to save, how weekly cleaner billing works, and how SMASH turns prior invoices into new drafts.",1069,2026-05-11,no,yes,both
rubbish-removal-invoice-template-australia,"Rubbish Removal Invoice Template Australia: Load Rates, Tip Fees and GST","What to include on a rubbish removal invoice in Australia: ABN, load rates, tip fees by waste type, labour, GST and payment terms.",764,2026-05-11,no,yes,both
scope-creep-tradie-invoice,"\""While You're Up There...\"" — The Scope Creep Job That Pays for One and Works for Three",Scope creep is the most common unpaid work in the trades — customers add tasks during the job and expect them included in the original price. Here's how to handle additions professionally without losing the customer or the income.,1013,2026-04-06,no,no,both
security-installer-invoice-template-australia,"Security Installer Invoice Template Australia: Equipment, Cable and GST","What to include on a security installation invoice in Australia: ABN, licence number, equipment model numbers, cable runs by metre, labour, monitoring, GST and payment terms.",753,2026-05-11,no,yes,both
service-trade-invoice-gmail-sidebar,End the Sunday Night Admin: Service Pros Invoice From Gmail | SMASH,"Plumbers, cleaners, and photographers spend 5–10 unpaid hours a week on manual invoicing. SMASH's voice-to-invoice and milestone deposit tools cut that to minutes inside Gmail.",1101,2026-06-07,no,yes,both
shipping-container-quote-builder-gmail,Shipping Container Quote Automation From Gmail | SMASH,"Container suppliers deal with base configs, custom modifications, and tilt-tray delivery zones on every sale. SMASH reads the email and builds the complete multi-line quote in Gmail.",930,2026-06-07,no,yes,both
